GeneSymbol,ProbeID
SLC20A1,11758222_s_at
ARF6,11758273_s_at
KIF15,11758371_s_at
TLR1,11758377_s_at
PTEN,11758421_s_at
CDCA7,11758478_s_at
C9orf91,11758550_x_at
PSME2,11758693_s_at
HLADQB1,11758821_x_at
CYTSB,11759015_at
MAP3K2,11759296_at
C6orf204,11759324_s_at
FCRL3,11759352_a_at
IL12RB1,11759434_at
CHST11,11759496_at
FAM49A,11759498_at
IGLL5,11759571_a_at
TRA,11759629_a_at
IGKC,11759652_x_at
IGL,11759685_x_at
IGHM,11759815_a_at
MR1,11759825_x_at
C11orf21,11759915_at
IGHA1,11760137_x_at
IL23A,11761418_x_at
IGHG3,11761467_x_at
TRBC1,11761918_x_at
TRD,11762328_a_at
GBP7,11762406_s_at
EIF4A1,11762854_a_at
HLAC,11762940_x_at
IGK,11763126_x_at
IGLJ3,11763229_x_at
LOC100128751,11763302_at
NFATC2,11763307_s_at
DOK1,11763329_a_at
ANKRD36B,11763366_s_at
FLJ40330,11763408_x_at
ZC3H12D,11763472_x_at
TMPO,11763585_s_at
